timedelta,P,Q
81300,0,0
81600,0,0
81900,0,0
82200,0,0
82500,0,0
82800,0,0
83100,0,0
83400,0,0
83700,0,0
84000,0,0
84300,0,0
84600,0,0
84900,0,0
85200,0,0
85500,0,0
85800,0,0
86100,0,0
86400,0,0
86700,0,0
87000,0,0
87300,0,0
87600,0,0
87900,0,0
88200,0,0
88500,0,0
88800,0,0
89100,0,0
89400,0,0
89700,0,0
90000,0,0
90300,0,0
90600,0,0
90900,0,0
91200,0,0
91500,0,0
91800,0,0
92100,0,0
92400,0,0
92700,0,0
93000,0,0
93300,0,0
93600,0,0
93900,0,0
94200,0,0
94500,0,0
94800,0,0
95100,0,0
95400,0,0
95700,0,0
96000,0,0
96300,0,0
96600,0,0
96900,0,0
97200,0,0
97500,0,0
97800,0,0
98100,0,0
98400,0,0
98700,0,0
99000,0,0
99300,0,0
99600,0,0
99900,0,0
100200,0,0
100500,0,0
100800,0,0
101100,-2.31228995323181,-0.231228995323181
101400,-4.58482789993286,-0.458482789993286
101700,-6.83601236343384,-0.683601236343384
102000,-9.07631397247314,-0.907631397247314
102300,-11.3111143112183,-1.13111143112183
102600,-13.5429821014404,-1.35429821014404
102900,-15.7730436325073,-1.57730436325073
103200,-18.0017108917236,-1.80017108917236
103500,-20.2290515899658,-2.02290515899658
103800,-22.454984664917,-2.2454984664917
104100,-24.6793518066406,-2.46793518066406
104400,-26.9019832611084,-2.69019832611084
104700,-34.8219718933105,-3.48219718933105
105000,-42.6514091491699,-4.26514091491699
105300,-50.4067230224609,-5.04067230224609
105600,-58.1002502441406,-5.81002502441406
105900,-65.741325378418,-6.5741325378418
106200,-73.3371047973633,-7.33371047973633
106500,-81.2717208862305,-8.12717208862305
106800,-89.5296859741211,-8.95296859741211
107100,-97.907958984375,-9.7907958984375
107400,-106.407485961914,-10.6407485961914
107700,-115.028144836426,-11.5028144836426
108000,-123.769104003906,-12.3769104003906
108300,-137.124801635742,-13.7124801635742
108600,-150.707305908203,-15.0707305908203
108900,-164.519897460938,-16.4519897460938
109200,-178.563629150391,-17.8563629150391
109500,-192.837860107422,-19.2837860107422
109800,-207.340744018555,-20.7340744018555
110100,-222.069519042969,-22.2069519042969
110400,-237.020797729492,-23.7020797729492
110700,-252.190628051758,-25.2190628051758
111000,-267.574737548828,-26.7574737548828
111300,-283.168518066406,-28.3168518066406
111600,-300.806213378906,-30.0806213378906
111900,-313.253173828125,-31.3253173828125
112200,-325.648620605469,-32.5648620605469
112500,-337.990753173828,-33.7990753173828
112800,-350.277923583984,-35.0277923583984
113100,-362.508728027344,-36.2508728027344
113400,-374.681915283203,-37.4681915283203
113700,-386.79638671875,-38.679638671875
114000,-398.851196289062,-39.8851196289062
114300,-405.062622070312,-40.5062622070312
114600,-416.479339599609,-41.6479339599609
114900,-427.8203125,-42.78203125
115200,-439.085510253906,-43.9085510253906
115500,-452.692504882812,-45.2692504882812
115800,-474.853088378906,-47.4853088378906
116100,-489.08984375,-48.908984375
116400,-503.350463867188,-50.3350463867188
116700,-517.632690429688,-51.7632690429688
117000,-531.934448242188,-53.1934448242188
117300,-546.25341796875,-54.625341796875
117600,-560.587463378906,-56.0587463378906
117900,-574.934509277344,-57.4934509277344
118200,-589.292297363281,-58.9292297363281
118500,-603.658813476562,-60.3658813476562
118800,-618.031799316406,-61.8031799316406
119100,-620.186462402344,-62.0186462402344
119400,-622.172180175781,-62.2172180175781
119700,-623.993347167969,-62.3993347167969
120000,-625.654418945312,-62.5654418945312
120300,-627.159912109375,-62.7159912109375
120600,-610.446960449219,-61.0446960449219
120900,-611.178894042969,-61.1178894042969
121200,-611.771728515625,-61.1771728515625
121500,-612.230163574219,-61.2230163574219
121800,-612.558959960938,-61.2558959960938
122100,-612.762939453125,-61.2762939453125
122400,-612.846923828125,-61.2846923828125
122700,-619.854614257812,-61.9854614257812
123000,-626.841369628906,-62.6841369628906
123300,-633.807250976562,-63.3807250976562
123600,-640.751953125,-64.0751953125
123900,-647.675415039062,-64.7675415039062
124200,-654.577453613281,-65.4577453613281
124500,-661.457885742188,-66.1457885742188
124800,-668.316528320312,-66.8316528320312
125100,-675.153076171875,-67.5153076171875
125400,-681.967407226562,-68.1967407226562
125700,-688.75927734375,-68.875927734375
126000,-695.528381347656,-69.5528381347656
126300,-717.559875488281,-71.7559875488281
126600,-739.62353515625,-73.962353515625
126900,-791.178955078125,-79.1178955078125
127200,-813.998474121094,-81.3998474121094
127500,-836.804504394531,-83.6804504394531
127800,-859.58447265625,-85.958447265625
128100,-882.325744628906,-88.2325744628906
128400,-905.015930175781,-90.5015930175781
128700,-927.642578125,-92.7642578125
129000,-950.193481445312,-95.0193481445312
129300,-972.656616210938,-97.2656616210938
129600,-995.02001953125,-99.502001953125
129900,-1003.76989746094,-100.376989746094
130200,-1012.42547607422,-101.242547607422
130500,-1020.97894287109,-102.097894287109
130800,-1029.42297363281,-102.942297363281
131100,-1037.75,-103.775
131400,-1045.95288085938,-104.595288085938
131700,-1054.0244140625,-105.40244140625
132000,-1061.95764160156,-106.195764160156
132300,-1069.74572753906,-106.974572753906
132600,-1077.38208007812,-107.738208007812
132900,-1084.85974121094,-108.485974121094
133200,-1092.17260742188,-109.217260742188
133500,-1110.9658203125,-111.09658203125
133800,-1156.86633300781,-115.686633300781
134100,-1174.49499511719,-117.449499511719
134400,-1191.6484375,-119.16484375
134700,-1208.30053710938,-120.830053710938
135000,-1224.42565917969,-122.442565917969
135300,-1239.99877929688,-123.999877929688
135600,-1254.99523925781,-125.499523925781
135900,-1269.39086914062,-126.939086914062
136200,-1283.16223144531,-128.316223144531
136500,-1296.28601074219,-129.628601074219
136800,-1308.73974609375,-130.873974609375
137100,-1298.99853515625,-129.899853515625
137400,-1288.99609375,-128.899609375
137700,-1278.73229980469,-127.873229980469
138000,-1268.20715332031,-126.820715332031
138300,-1257.42053222656,-125.742053222656
138600,-1246.37219238281,-124.637219238281
138900,-1235.06213378906,-123.506213378906
