timestamp,load_1_p,load_1_q,pv_1_p,pv_1_q,load_2_p,load_2_q,pv_2_p,pv_2_q,load_3_p,load_3_q,pv_3_p,pv_3_q,load_4_p,load_4_q,pv_4_p,pv_4_q,load_5_p,load_5_q,pv_5_p,pv_5_q
23,0.925072658963635,0.36255295831369355,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,0.823271130625686,0.32265507039954044,-0.0,-0.0,0.13448144865138661,0.052705748650591064,-0.0,-0.0,0.1263712154453708,0.04952719936263662,-0.0,-0.0
24,0.5875806337279365,0.23028363765993914,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,0.823271130625686,0.32265507039954044,-0.0,-0.0,0.07692794732176778,0.03014947486368557,-0.0,-0.0,0.1263712154453708,0.04952719936263662,-0.0,-0.0
25,0.15630538030764868,0.06125894812886547,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,0.823271130625686,0.32265507039954044,-0.0,-0.0,0.07692794732176778,0.03014947486368557,-0.0,-0.0,0.1263712154453708,0.04952719936263662,-0.0,-0.0
26,0.15630538030764868,0.06125894812886547,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,0.823271130625686,0.32265507039954044,-0.0,-0.0,0.07692794732176778,0.03014947486368557,-0.0,-0.0,0.1263712154453708,0.04952719936263662,-0.0,-0.0
27,0.15630538030764868,0.06125894812886547,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,0.30428100987925355,0.11925331401967014,-0.0,-0.0,0.07692794732176778,0.03014947486368557,-0.0,-0.0,0.1263712154453708,0.04952719936263662,-0.0,-0.0
28,0.15630538030764868,0.06125894812886547,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,0.17453347969264543,0.06840287492470257,-0.0,-0.0,0.07692794732176778,0.03014947486368557,-0.0,-0.0,0.1263712154453708,0.04952719936263662,-0.0,-0.0
29,0.15630538030764868,0.06125894812886547,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,0.17453347969264543,0.06840287492470257,-0.0,-0.0,0.07692794732176778,0.03014947486368557,-0.0,-0.0,0.5765686704695041,0.22596784709202952,-0.0,-0.0
30,0.15630538030764868,0.06125894812886547,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,0.17453347969264543,0.06840287492470257,-0.0,-0.0,0.07692794732176778,0.03014947486368557,-0.0,-0.0,0.8767003071522598,0.3435949455782915,-0.0,-0.0
31,0.15630538030764868,0.06125894812886547,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,0.17453347969264543,0.06840287492470257,-0.0,-0.0,0.07692794732176778,0.03014947486368557,-0.0,-0.0,0.8767003071522598,0.3435949455782915,-0.0,-0.0
32,0.15630538030764868,0.06125894812886547,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,0.17453347969264543,0.06840287492470257,-0.0,-0.0,0.07692794732176778,0.03014947486368557,-0.0,-0.0,0.8767003071522598,0.3435949455782915,-0.0,-0.0
